172.29.0.8 - - [06/Jun/2024:12:59:55 +0000] "GET /index.php HTTP/1.0" 200 371 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
192.168.0.1 - - [08/Jun/2024:16:07:04 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:07:04 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:07:04 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:07:04 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:07:04 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:07:04 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:07:04 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:07:04 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:07:04 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:07:04 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:07:41 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:07:41 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:10 +0000] "\x16\x03\x01\x06\xF2\x01\x00\x06\xEE\x03\x03\xAD\x8Cp\xFDb\xAE\xC2#\x0BnA\xE1\xBC\xE4\x1CFN\x18\xD4\x89`\xED\xF9X\xBA[G\xA6G\xC9\x03O \xFE\xCE\xC9j\x5Cp\x8An\xE0\x8B\xBE\xB8\x08\xC1N\xA8o\x99\xD9\xC5\xC6\xEE\x1AEd(\xF3\xFA\x1CI\x9F\xBB\x00 zz\x13\x01\x13\x02\x13\x03\xC0+\xC0/\xC0,\xC00\xCC\xA9\xCC\xA8\xC0\x13\xC0\x14\x00\x9C\x00\x9D\x00/\x005\x01\x00\x06\x85\x1A\x1A\x00\x00\x00#\x00\x00Di\x00\x05\x00\x03\x02h2\x00" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:10 +0000] "\x16\x03\x01\x07\x12\x01\x00\x07\x0E\x03\x03\x8A\xC6N\x97\x18\xC3\x9E\x96 d\xC9\x94\xFF\xBB\xEF\xA3\x14," 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:10 +0000] "\x16\x03\x01\x07\x12\x01\x00\x07\x0E\x03\x03\x92E\xD4\x05Dp\xB2\xF5\xD3\xA1\xE3\xAF*\xA5\xCD\x91A\x91\xCA$\x0FZE\xD0 n" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:10 +0000] "\x16\x03\x01\x06\xD2\x01\x00\x06\xCE\x03\x03\x94\xB8\xF0_v\x15|\xAB\x7F\x1A\x95\xD6;H\xE6|\xFF<\x12K\x9B\x05\xED\x00\x0F\x9E\xF1\x92w\xF1\xBE\xCA \xE7\xF3D\xBD\xE8xa\x8E\x9B\xE6H\xBD\xA2Z\xB7\x09\xC9\xDDF\x015d\xCC\xF5\x86.!\x18\xBCp,\x82\x00 \xAA\xAA\x13\x01\x13\x02\x13\x03\xC0+\xC0/\xC0,\xC00\xCC\xA9\xCC\xA8\xC0\x13\xC0\x14\x00\x9C\x00\x9D\x00/\x005\x01\x00\x06ejj\x00\x00\x00\x10\x00\x0E\x00\x0C\x02h2\x08http/1.1\xFF\x01\x00\x01\x00Di\x00\x05\x00\x03\x02h2\x00#\x00\x00\x00-\x00\x02\x01\x01\x00\x12\x00\x00\x003\x04\xEF\x04\xED\xBA\xBA\x00\x01\x00c\x99\x04\xC0\xEF\x84\xDE5p\xBE\x1B\x8B\x01\x17\xAF\x166\x9B\x22S\xB8\xE0\x80\xA2" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:10 +0000] "\x16\x03\x01\x07\x12\x01\x00\x07\x0E\x03\x03\x82:He\x0E\xA62\x17P\xE3\xC9\xEF\xE7\xCC\x87\xF4\xBF\x90m\x09\xB9\x9D\x83\x83n\xB3<#\x11\x82\xBCX \x0B\x1B\x87S\x9D\x5C\x8B1h\xA7\xE3zR\xA1Q\xA0\xB5lt\x94\x94\x01\x8D\x19\xB4\x84=Vp`:\xA0\x00 \xDA\xDA\x13\x01\x13\x02\x13\x03\xC0+\xC0/\xC0,\xC00\xCC\xA9\xCC\xA8\xC0\x13\xC0\x14\x00\x9C\x00\x9D\x00/\x005\x01\x00\x06\xA5\xAA\xAA\x00\x00\x00-\x00\x02\x01\x01\x00" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:10 +0000] "\x16\x03\x01\x06\xB2\x01\x00\x06\xAE\x03\x03,{\xBA\x13\xBA\x98\x92\xFF\x96 \xE6" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:08:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:10:26 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.0.1 - - [08/Jun/2024:16:10:26 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:14:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:14:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:14:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:14:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:14:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:14:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:14:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:14:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:14:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:14:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:14:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:14:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:14:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:14:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:11 +0000] "GET / HTTP/1.1" 500 579 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
192.168.16.1 - - [08/Jun/2024:16:15:12 +0000] "GET /favicon.ico HTTP/1.1" 500 579 "http://0.0.0.0/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
192.168.16.1 - - [08/Jun/2024:16:15:17 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:17 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:17 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:17 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:22 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:22 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:22 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:22 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:38 +0000] "GET /index.html HTTP/1.1" 200 343 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
192.168.16.1 - - [08/Jun/2024:16:15:38 +0000] "GET /favicon.ico HTTP/1.1" 500 579 "http://0.0.0.0/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
192.168.16.1 - - [08/Jun/2024:16:15:48 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:48 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:55 +0000] "GET /index.html HTTP/1.1" 200 352 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
192.168.16.1 - - [08/Jun/2024:16:15:55 +0000] "GET /favicon.ico HTTP/1.1" 500 579 "http://0.0.0.0/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
192.168.16.1 - - [08/Jun/2024:16:15:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:16:00 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:16:00 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:16:14 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:16:14 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:16:28 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:16:28 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:13 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:21 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:21 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:21 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:21 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:21 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:21 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:21 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:21 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:21 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:21 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:21 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:21 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:21 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:21 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:21 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:21 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:21 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:18:21 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:21:12 +0000] "GET /metrics HTTP/1.1" 500 579 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
192.168.16.1 - - [08/Jun/2024:16:21:13 +0000] "GET /favicon.ico HTTP/1.1" 500 579 "http://localhost/metrics" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
192.168.16.1 - - [08/Jun/2024:16:23:38 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:23:38 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:23:41 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:23:41 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
